epsilon,sample_index,delta_change_deg,J_change,unphysical
0.0005,74,-7.74988776122143e-05,-1.001303366054973e-06,True
0.0005,75,0.00041790026955368376,4.782624623157067e-07,True
0.0005,76,0.0013594296832302177,1.6753760795906736e-06,True
0.0005,77,0.0007053774913892141,-6.797916152698202e-07,True
0.0005,78,-0.0010407813248498599,-1.0445637380791795e-06,True
0.0005,79,-0.001376885445875331,-6.633726528509909e-07,True
0.0005,80,-0.0023303832607730612,-3.138363907809888e-06,True
0.0005,81,0.0005413522934532011,4.451412358892626e-07,True
0.0005,82,0.00041811991382800784,-9.146967055867483e-07,True
0.0005,83,-0.00015348739725951077,-6.188363248539608e-07,True
0.0005,84,-0.00025515870422410103,-7.216928159595182e-07,True
0.0005,85,-0.0003081452318944855,4.1140594337490954e-08,True
0.0005,86,-0.0015606371710319422,-2.136557456493965e-06,True
0.0005,87,0.00032321154117909145,1.9395891577150826e-06,True
0.0005,88,-6.896264238065442e-05,1.048096094115325e-07,True
0.0005,89,0.001452645871022895,2.2116160569591453e-06,True
0.0005,90,0.0002720845101187308,-6.657806215157325e-07,True
0.0005,91,0.0010668197688694647,1.4295910965422126e-06,True
0.0005,92,-0.00036738042352624234,2.6695953411759454e-07,True
0.0005,93,0.0006077002753670513,1.0115427520104164e-06,True
0.0005,94,0.00024268655613468582,-4.787851197313175e-07,True
0.0005,95,0.0012328820838796162,5.538123853017496e-07,True
0.0005,96,0.0009348591435767162,1.3086483091652445e-06,True
0.0005,97,-0.0018990940038996484,-1.1593149062544272e-06,True
0.0005,98,0.00021623205772058895,1.114261952501333e-06,True
0.0005,99,0.0007522872032161843,-5.343114886542655e-07,True
0.0005,100,0.00027276243300988767,5.72351792696435e-10,True
0.0005,101,0.0010047964410659915,-1.9603216307173543e-09,True
0.0005,102,0.001203343394323042,1.4198194585209045e-06,True
0.0005,103,-0.00044511230100141574,-3.3364447942288433e-07,True
0.0005,104,0.00014931947523422195,1.6512986515462846e-06,True
0.0005,105,-0.0002809600112847477,-9.7785214245652e-07,True
0.0005,106,6.263318020671704e-05,5.13453279782361e-07,True
0.0005,107,0.0017890813123742078,9.825717387917932e-07,True
0.0005,108,-0.0005107383682947386,1.439101677833468e-06,True
0.0005,109,0.0006152983478386886,-8.745436146685714e-07,True
0.0005,110,0.0007616446787928055,1.307026136449646e-06,True
0.0005,111,-0.001884227011842654,-5.104365834035507e-07,True
0.0005,112,0.001306522335717375,9.622019803944004e-07,True
0.0005,113,5.717266173377311e-06,2.1614089042859552e-08,True
0.0005,114,0.0003252305236394193,3.196995352078985e-07,True
0.0005,115,-0.0015828113725575577,-2.1381266767234175e-06,True
0.0005,116,0.0006464264518193374,1.3901362878286638e-06,True
0.0005,117,0.0020716999139303027,1.2835905212685295e-06,True
0.0005,118,0.0009833490718378357,1.4036744922264754e-06,True
0.0005,119,0.00021373343559361047,8.959873456174799e-07,True
0.0005,120,-0.0009241378196165329,-5.6279979331747e-07,True
0.0005,121,-0.0006466772118614017,-6.1867497715834e-07,True
0.0005,122,0.0007375456113933865,6.656467131486987e-07,True
0.0005,123,0.0009705023401522794,2.9262549919133185e-07,True
0.0005,124,-0.0009254368946258751,-5.295996260389069e-07,True
0.0005,125,0.0007534192693690045,1.344279429334183e-07,True
0.0005,126,-0.0006244422780490311,-1.577778428567267e-07,True
0.0005,127,-0.00103278669021023,-4.881546402709519e-07,True
0.0005,128,-0.00018517794761407913,7.461875349036584e-08,True
0.0005,129,0.0006984410915542583,8.983632879822068e-07,True
0.0005,130,0.0005621799462645072,4.284993561885775e-07,True
0.0005,131,-8.868565472752721e-05,-6.016418900890719e-07,True
0.0005,132,0.0001234433582126826,1.200255188923624e-06,True
0.0005,133,0.0002587935964832866,-1.0607176987101341e-07,True
0.0005,134,0.00013896273152980143,-3.4932960350265996e-07,True
0.0005,135,-0.0007316024386092579,-1.3547811427601364e-06,True
0.0005,136,-0.0015773019158480395,-4.240845682852712e-07,True
0.0005,137,-0.000616463835875436,-4.2857328376444404e-07,True
0.0005,138,9.157829439843113e-05,-6.749504874396101e-07,True
0.0005,139,-0.0005106935135330559,-3.4265257231602675e-07,True
0.0005,140,0.0002685541023481619,-3.659278827849305e-07,True
0.0005,141,-0.0005287377356779643,-1.1948417207030548e-07,True
0.0005,142,-0.0003998442732822127,2.7192423122240905e-07,True
0.0005,143,0.0005561040334143286,-7.859914415223046e-07,True
0.0005,144,-0.0005623196774848793,-9.481956903499567e-08,True
0.0005,145,-0.000966348859510191,-1.7949868738389996e-06,True
0.0005,146,-0.0008605250146835886,-1.1754094705104107e-06,True
0.0005,147,-0.00019906685666271073,-7.215779455407856e-07,True
0.0005,148,-0.0008555219010197845,-1.1955612923292974e-06,True
0.0005,149,6.722520415891609e-05,-1.3158936663405785e-06,True
0.0005,150,-0.00035902580551905316,1.0019256285881406e-06,True
0.0005,151,-0.0006226835189870883,-2.243444208495371e-07,True
0.0005,152,-0.0002805385605846311,1.533578149609527e-07,True
0.0005,153,0.0015260516751709474,1.679988538803856e-06,True
0.0005,154,-0.00047376469893123385,-7.473588052239744e-09,True
0.0005,155,-0.00016035225743493697,-1.4211947853282059e-07,True
0.0005,156,0.0008067997668206317,1.7136718845726928e-06,True
0.0005,157,-0.0008856600350490851,-1.2035581283594693e-06,True
0.0005,158,-0.0005409396248907683,8.467282545145116e-07,True
0.0005,159,-0.0015075565543725133,-1.9045137333081191e-06,True
0.0005,160,-0.0007798038048782985,-8.160799977938171e-07,True
0.0005,161,-0.00033222241534147656,-1.0360478101024972e-06,True
0.0005,162,-0.00022063384492199134,1.2370694534406812e-06,True
0.0005,163,-0.0011158839897120743,-1.6815085124594759e-06,True
